全回答数,直近30日間の回答数,前の30日間の回答数,伸び率（対前月）,石川県の回答数順位,石川県の回答数順位(直近30日間),商品・サービス満足度,商品・サービス満足度(直近30日間),施設全体満足度,施設全体満足度(直近30日間),旅全体満足度,旅全体満足度(直近30日間),施設の推奨度,推奨者数,非推奨者数,NPS,推奨者数(直近30日間),非推奨者数(直近30日間),NPS(直近30日間),10代,20代,30代,40代,50代,60代,70代,80代,90代,100代,男性,女性,1泊,2泊,3泊,4泊以上,日帰り,自分ひとり,恋人,友人,夫婦2人,団体旅行,親戚,親,職場の同僚,小学生以下連れの家族,中学生以下連れの家族,高校生連れの家族,災害支援,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係
32,0,0,,60,50,4.538461538,,4.344827586,,4.5,,8.125,14,5,0.28125,0,0,,0,0.125,0.21875,0.09375,0.375,0.15625,0.03125,0,0,0,0.4375,0.5625,0.4375,0.25,0.125,0.15625,0.03125,0.4375,0.09375,0.125,0.125,0.03125,0,0.03125,0.09375,0,0,0,0,0.21875,0.09375,0.625,0,0,0,0,0.03125,0,0,0,0,0,0,0.03125,0,0.1875
353,32,33,-0.03030303,8,8,4.482200647,3.96875,4.473846154,4.28125,4.640350877,4.40625,8.42776204,178,41,0.388101983,17,5,0.375,0.005665722,0.09631728,0.164305949,0.203966006,0.314447592,0.181303116,0.031161473,0.002832861,0,0,0.317280453,0.668555241,0.385269122,0.348441926,0.087818697,0.062322946,0.116147309,0.192634561,0.059490085,0.152974504,0.269121813,0.011331445,0,0.135977337,0.016997167,0.045325779,0.011331445,0,0,0.124645892,0.158640227,0.674220963,0.093484419,0,0,0,0.019830028,0,0,0,0,0,0,0.025495751,0,0.062322946
115,10,5,1,22,17,4.527777778,4.1,4.518867925,4.1,4.517857143,4.4,8.226086957,57,16,0.356521739,4,4,0,0.026086957,0.156521739,0.156521739,0.243478261,0.217391304,0.173913044,0.017391304,0.008695652,0,0,0.417391304,0.565217391,0.426086957,0.408695652,0.113043478,0.052173913,0,0.2,0.043478261,0.095652174,0.191304348,0.008695652,0,0.07826087,0.139130435,0.052173913,0.060869565,0,0,0.165217391,0.252173913,0.556521739,0.086956522,0,0,0,0.026086957,0,0,0,0,0,0,0.026086957,0,0.234782609
72,0,0,,34,51,4.46875,,4.390625,,4.426470588,,7.541666667,25,18,0.097222222,0,0,,0,0.083333333,0.138888889,0.097222222,0.277777778,0.319444444,0.083333333,0,0,0,0.527777778,0.458333333,0.388888889,0.319444444,0.138888889,0.138888889,0.013888889,0.222222222,0.013888889,0.027777778,0.402777778,0.013888889,0,0.069444444,0.069444444,0.013888889,0.041666667,0,0,0.138888889,0.027777778,0.486111111,0.083333333,0,0,0,0.027777778,0,0,0,0,0,0,0.013888889,0,0.166666667
47,0,0,,49,52,4.35,,4.404761905,,4.456521739,,7.85106383,13,7,0.127659575,0,0,,0.021276596,0.127659575,0.106382979,0.106382979,0.382978723,0.234042553,0.021276596,0,0,0,0.446808511,0.531914894,0.489361702,0.340425532,0.106382979,0.063829787,0,0.319148936,0.127659575,0.106382979,0.234042553,0,0,0.063829787,0.063829787,0.042553191,0,0,0,0.14893617,0.234042553,0.468085106,0.085106383,0,0,0,0.085106383,0,0,0,0,0,0,0,0,0.255319149
60,0,0,,39,53,4.283018868,,4.296296296,,4.543859649,,7.633333333,22,16,0.1,0,0,,0.033333333,0.333333333,0.216666667,0.133333333,0.2,0.083333333,0,0,0,0,0.266666667,0.7,0.433333333,0.45,0.083333333,0.033333333,0,0.066666667,0.2,0.2,0.25,0.033333333,0,0.066666667,0.066666667,0.066666667,0.033333333,0,0,0.15,0.05,0.65,0,0,0,0,0.033333333,0,0,0,0,0,0,0.016666667,0,0.116666667
35,2,1,1,54,33,4.685714286,4.5,4.647058824,4.5,4.714285714,4.5,9.114285714,25,1,0.685714286,2,0,1,0.028571429,0.171428571,0.257142857,0.171428571,0.257142857,0.085714286,0.028571429,0,0,0,0.4,0.571428571,0.228571429,0.285714286,0.228571429,0.057142857,0.2,0.285714286,0.057142857,0.114285714,0.257142857,0,0,0.085714286,0,0.085714286,0,0,0,0.2,0.114285714,0.714285714,0.114285714,0,0,0,0.057142857,0,0,0,0,0,0,0,0,0
49,7,0,,46,20,4.511111111,4.428571429,4.466666667,4.428571429,4.595744681,4.571428571,8.469387755,25,5,0.408163265,5,0,0.714285714,0.020408163,0.12244898,0.204081633,0.183673469,0.265306122,0.163265306,0.040816327,0,0,0,0.163265306,0.795918367,0.408163265,0.346938776,0.081632653,0.06122449,0.102040816,0.040816327,0.020408163,0.204081633,0.12244898,0,0,0.244897959,0,0.081632653,0.020408163,0.020408163,0,0.102040816,0.224489796,0.755102041,0.12244898,0,0,0,0.020408163,0,0,0,0,0,0,0.020408163,0,0.040816327
65,2,6,-0.666666667,37,34,4.542372881,4,4.524590164,4,4.483333333,4,8.707692308,40,8,0.492307692,0,0,0,0,0.061538462,0.569230769,0.292307692,0.030769231,0.046153846,0,0,0,0,0.2,0.769230769,0.184615385,0.046153846,0.046153846,0.061538462,0.661538462,0.015384615,0,0.030769231,0,0,0,0.015384615,0,0.923076923,0,0,0,0.215384615,0.184615385,0.276923077,0.046153846,0,0,0,0,0,0,0,0,0,0,0.030769231,0,0
41,1,2,-0.5,51,39,4.382352941,5,4.424242424,4,4.558823529,4,7.804878049,16,6,0.243902439,0,0,0,0.024390244,0.146341463,0.268292683,0.146341463,0.317073171,0.073170732,0.024390244,0,0,0,0.219512195,0.707317073,0.365853659,0.243902439,0.146341463,0.097560976,0.146341463,0.12195122,0.073170732,0.024390244,0.243902439,0.024390244,0,0.073170732,0.048780488,0.170731707,0.073170732,0,0,0.170731707,0.243902439,0.463414634,0.024390244,0,0,0,0.024390244,0,0,0,0,0,0,0.12195122,0,0.073170732
